company,url,page_kind,web_score,aeo_score,selection_reason,crawl_id,analysis_id,artifact_id,status_code,final_url,content_type,body_sha256,body_file,headers_file,crawl_completed_at,audit_fetched_at,error
goodee,https://www.goodeeworld.com/collections/alessi,category,76.3,55.6,goodee: alternating web_score rank,674a1a91-f435-42ac-bc16-3972eb82ebda,3774ff1e-4c5c-4f23-b76b-4d9474175fef,aff3fd4d-d1ff-4f37-8886-8ee6f13fa63b,,https://www.goodeeworld.com/collections/alessi,text/html,38063d86fe01bcf867efdff461785cc860d14125ca87937b332f5d670f93bbea,001-06060fc17dc155db.html,001-06060fc17dc155db.headers.json,2026-08-31 01:43:54.790688+00:00,2026-08-31T03:48:57.905324+00:00,
goodee,https://www.goodeeworld.com/pages/faq,faq,93.2,30.0,goodee: alternating aeo_score rank,674a1a91-f435-42ac-bc16-3972eb82ebda,08a44556-ce63-4fca-9bd2-c7bb395f3d15,e2d08b48-2eb3-4cf0-9c77-3b8b94dd4207,,https://www.goodeeworld.com/pages/faq,text/html,de5cb08fc5928f742cc0cb6454a177cb18be2b3778f245ce85a3b2195adc58f1,002-652612688217bf1e.html,002-652612688217bf1e.headers.json,2026-08-31 01:43:54.790688+00:00,2026-08-31T03:48:58.745866+00:00,
goodee,https://www.goodeeworld.com/blogs/stories/the-cape-retreat-on-place-preservation-hospitality,article,86.4,50.0,goodee: alternating web_score rank,674a1a91-f435-42ac-bc16-3972eb82ebda,87cd6a09-51e2-4047-887d-83608ca90530,2d21a266-1da8-4d05-8c1e-f777d0a415ad,,https://www.goodeeworld.com/blogs/stories/the-cape-retreat-on-place-preservation-hospitality,text/html,eac08a0f4926db649aca7f848d06014dc3bb161a1c6ff1047c82a38c4e247ce4,003-742d71c82ef138c5.html,003-742d71c82ef138c5.headers.json,2026-08-31 01:43:54.790688+00:00,2026-08-31T03:48:59.475533+00:00,
goodee,https://www.goodeeworld.com/pages/reviews,case_study_review,100.0,40.0,goodee: alternating aeo_score rank,674a1a91-f435-42ac-bc16-3972eb82ebda,5d162a9f-f61a-4b77-ac5a-c3a3f24a0ac3,cd0d0630-aae1-486b-ac1c-a0dd36b9a30f,,https://www.goodeeworld.com/pages/reviews,text/html,d59d7e6382682ee14e0162f2628b25e7d8729f302ae2a10cf7544915246ae109,004-9d8c63f8f5675024.html,004-9d8c63f8f5675024.headers.json,2026-08-31 01:43:54.790688+00:00,2026-08-31T03:49:00.039030+00:00,
goodee,https://www.goodeeworld.com/collections/new-at-goodee/products/buddys-dogwear-capri-isola-woven-cotton-dog-collar-beige,product,88.1,62.5,goodee: alternating web_score rank,674a1a91-f435-42ac-bc16-3972eb82ebda,a08afafb-96e3-4642-8fb7-f1bf60495bd3,5d0be6f7-8882-4bc2-a8e5-ae6206f5a9dc,,https://www.goodeeworld.com/collections/new-at-goodee/products/buddys-dogwear-capri-isola-woven-cotton-dog-collar-beige,text/html,fa9c5a75e44ad481dc9741ef9fa874022324d65fb393da5a2f9a6d36a67ded77,005-454aefe45429df1a.html,005-454aefe45429df1a.headers.json,2026-08-31 01:43:54.790688+00:00,2026-08-31T03:49:00.594650+00:00,
goodee,https://www.goodeeworld.com/,homepage,93.2,41.7,goodee: alternating aeo_score rank,674a1a91-f435-42ac-bc16-3972eb82ebda,87be1d56-b242-425e-afad-d365c4f456bc,c89d4332-c398-4240-8925-2f072be37188,,https://www.goodeeworld.com/,text/html,a832ac55cba5b1484f18973e24aa316ac885a802fc0f1221a2755b6d7923e4c6,006-66f49fa2d9c7a033.html,006-66f49fa2d9c7a033.headers.json,2026-08-31 01:43:54.790688+00:00,2026-08-31T03:49:01.350810+00:00,
goodee,https://www.goodeeworld.com/pages/ecobirdy-b2b,other,88.2,,goodee: alternating web_score rank,674a1a91-f435-42ac-bc16-3972eb82ebda,5129a1e8-ca4b-40a0-a8b8-563953a6cabe,69a1cbe4-3e6e-4ef7-a0fe-de51f0384dab,,https://www.goodeeworld.com/pages/ecobirdy-b2b,text/html,4cdc361595c01470468847c3a63e04979816cd7b7b1675343bdb729e38580030,007-abc4127356a1d8d6.html,007-abc4127356a1d8d6.headers.json,2026-08-31 01:43:54.790688+00:00,2026-08-31T03:49:02.634490+00:00,
goodee,https://www.goodeeworld.com/pages/contact-us,about_contact,100.0,45.2,goodee: alternating aeo_score rank,674a1a91-f435-42ac-bc16-3972eb82ebda,ef7c96d7-7a67-4c92-8dee-abf162d7a5dc,82e9e600-7eb4-4091-a4c1-6d3f7942bafc,,https://www.goodeeworld.com/pages/contact-us,text/html,a53487ad9f07bed5aea1c7514419b049e64df5fbc8a7c99017e02c3cffa33542,008-6211965bdbc9486f.html,008-6211965bdbc9486f.headers.json,2026-08-31 01:43:54.790688+00:00,2026-08-31T03:49:03.120739+00:00,
goodee,https://www.goodeeworld.com/collections/allday-goods,category,76.3,55.6,goodee: alternating web_score rank,674a1a91-f435-42ac-bc16-3972eb82ebda,7c249633-1b10-4fad-a6d3-647b19ed386a,39f5ebbc-9243-4ec8-9b22-da1c1104d690,,https://www.goodeeworld.com/collections/allday-goods,text/html,60aade344ac71f4aaa93b048ee0423867d027f6d80bc226d8229feefcd47d77a,009-3e840f4db8d3538a.html,009-3e840f4db8d3538a.headers.json,2026-08-31 01:43:54.790688+00:00,2026-08-31T03:49:03.687302+00:00,
goodee,https://www.goodeeworld.com/blogs/stories,article,100.0,37.5,goodee: alternating aeo_score rank,674a1a91-f435-42ac-bc16-3972eb82ebda,40784024-6307-459d-a2b3-aab25916ac4f,9af6b246-5eb3-4a7f-9ed1-dac9f29d00c3,,https://www.goodeeworld.com/blogs/stories,text/html,753b2a3cc55457b82cd4afca40c6d20b9f2dce29ca71c5e7725a098ee588609d,010-0a5a1b05512e6128.html,010-0a5a1b05512e6128.headers.json,2026-08-31 01:43:54.790688+00:00,2026-08-31T03:49:04.332789+00:00,
goodee,https://www.goodeeworld.com/collections/astep,category,76.3,55.6,goodee: alternating web_score rank,674a1a91-f435-42ac-bc16-3972eb82ebda,f9747097-71e9-465f-aa36-274c324beff0,b07c0bb5-7c19-4f4d-bfe0-71efe2082c8b,,https://www.goodeeworld.com/collections/astep,text/html,2aedeae71905eb30d79a37f5a7a3d2d13e15ec174fcde6c25dfcc2ff875e96b5,011-aaeadfc7cdc8129a.html,011-aaeadfc7cdc8129a.headers.json,2026-08-31 01:43:54.790688+00:00,2026-08-31T03:49:04.984469+00:00,
goodee,https://www.goodeeworld.com/blogs/stories/tagged/founders-letter,article,100.0,37.5,goodee: alternating aeo_score rank,674a1a91-f435-42ac-bc16-3972eb82ebda,19825808-1863-432d-9c39-5809195f21f5,81041d64-921c-4840-a4ac-f96c6df9ed47,,https://www.goodeeworld.com/blogs/stories/tagged/founders-letter,text/html,28422366a9274dc7e217f9e30a92fc411185ef25789fb68a2c16591dc45619de,012-8abc7f22745136c7.html,012-8abc7f22745136c7.headers.json,2026-08-31 01:43:54.790688+00:00,2026-08-31T03:49:05.717682+00:00,
